p12,mean_ms_S1,mean_ms_S2,mean_ms_S3,amount_S1,amount_S2,amount_S3
0,666397.3146,1.499018,666707.9119,4001120,3331500,2667380
0.05,535684.7396,1.579628,570240.8372,4067289,3249992,2682719
0.1,418111.3726,1.673599,473075.1408,4124881,3172639,2702480
0.15,311521.1522,1.786597,374392.4177,4174483,3098827,2726690
0.2,215545.3883,1.922015,275021.3677,4216327,3028225,2755448
0.25,128118.0178,2.091352,173637.6421,4249727,2961064,2789209
0.3,48588.67225,2.309501,70010.62803,4274904,2896722,2828374
0.35,27.719137,2.595659,40.323263,4287252,2855521,2857227
0.4,8.071373,2.981172,10.391813,4287251,2855517,2857232
0.45,5.622249,3.553542,6.144829,4287251,2855517,2857232
0.5,5.103574,4.467308,4.453804,4287251,2855516,2857233
0.55,5.633876,6.173131,3.542939,4287251,2855516,2857233
0.6,8.096886,10.43141,2.970819,4287251,2855516,2857233
0.65,27.866843,40.422194,2.584899,4287251,2855516,2857233
0.7,48348.80959,69563.60485,2.305624,4275217,2826508,2898275
0.75,127920.0825,173195.293,2.090927,4250037,2787318,2962645
0.8,215115.6133,274250.2093,1.922221,4216312,2753545,3030143
0.85,311303.4035,373657.7699,1.786183,4174988,2724426,3100586
0.9,417400.9793,471791.772,1.674818,4125230,2700343,3174427
0.95,534599.5519,568644.2045,1.581408,4067526,2680742,3251732
1,665883.2998,665899.3801,1.50031,4001751,2665383,3332866
